article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit
ffd5ce3b-e9cb-58fa-9f6c-2e474ef05cb6,The New York Times,2016,"""global temperature""",Cancer and Climate Change,https://www.nytimes.com/2016/01/17/opinion/sunday/cancer-and-climate-change.html,2016-01-16,,1,https://static01.nyt.com/images/2016/01/17/opinion/sunday/17sellers/17sellers-articleLarge.jpg,,,
ffd5ce3b-e9cb-58fa-9f6c-2e474ef05cb6,The New York Times,2016,"""global temperature""",Cancer and Climate Change,https://www.nytimes.com/2016/01/17/opinion/sunday/cancer-and-climate-change.html,2016-01-16,,2,https://static01.nyt.com/images/2016/01/17/opinion/sunday/17sellers/17sellers-thumbStandard-v2.jpg,,,
7798524b-5f69-5a0e-9b37-0fa6c675a2a2,The New York Times,2016,"""global temperature""","2015 Was Hottest Year in Historical Record, Scientists Say",https://www.nytimes.com/2016/01/21/science/earth/2015-hottest-year-global-warming.html,2016-01-20,,1,https://static01.nyt.com/images/2016/01/20/science/earth/hottest-year-graphic-1453297020724/hottest-year-graphic-1453297020724-articleLarge.png,,,
7798524b-5f69-5a0e-9b37-0fa6c675a2a2,The New York Times,2016,"""global temperature""","2015 Was Hottest Year in Historical Record, Scientists Say",https://www.nytimes.com/2016/01/21/science/earth/2015-hottest-year-global-warming.html,2016-01-20,,2,https://static01.nyt.com/images/2016/01/20/science/earth/hottest-year-graphic-1453297020724/hottest-year-graphic-1453297020724-thumbStandard.png,,,
ed2242bb-4e3d-540e-b7c5-9c1aea03d764,The New York Times,2016,IPCC,What’s Missing at the U.N. Climate Panel’s Meeting on Climate Change Communication,https://dotearth.blogs.nytimes.com/2016/02/08/whats-missing-at-the-u-n-climate-panels-meeting-on-climate-change-communication/,2016-02-09,,1,https://static01.nyt.com/images/2007/04/07/world/07climate_CA0.ready/07climate_CA0.ready-articleLarge-v3.jpg,,,
ed2242bb-4e3d-540e-b7c5-9c1aea03d764,The New York Times,2016,IPCC,What’s Missing at the U.N. Climate Panel’s Meeting on Climate Change Communication,https://dotearth.blogs.nytimes.com/2016/02/08/whats-missing-at-the-u-n-climate-panels-meeting-on-climate-change-communication/,2016-02-09,,2,https://static01.nyt.com/images/2007/04/07/world/07climate_CA0.ready/07climate_CA0.ready-thumbStandard-v4.jpg,,,
1677bf50-cf61-56df-86d2-1917b5250df9,The New York Times,2016,"""global temperature""",Seas Are Rising at Fastest Rate in Last 28 Centuries,https://www.nytimes.com/2016/02/23/science/sea-level-rise-global-warming-climate-change.html,2016-02-22,,1,https://static01.nyt.com/images/2016/02/23/us/23subjpCLIMATE/23subjpCLIMATE-articleLarge.jpg,,,
1677bf50-cf61-56df-86d2-1917b5250df9,The New York Times,2016,"""global temperature""",Seas Are Rising at Fastest Rate in Last 28 Centuries,https://www.nytimes.com/2016/02/23/science/sea-level-rise-global-warming-climate-change.html,2016-02-22,,2,https://static01.nyt.com/images/2016/02/23/us/23subjpCLIMATE/23subjpCLIMATE-thumbStandard.jpg,,,
c0954219-fa94-5ef0-9515-d3c07d0f91a2,The New York Times,2016,IPCC,"Bill Gates, the ‘Impatient Optimist,’ Lays Out his Clean-Energy Innovation Agenda",https://dotearth.blogs.nytimes.com/2016/02/23/bill-gates-the-impatient-optimist-lays-out-his-clean-energy-innovation-agenda/,2016-02-23,,1,https://static01.nyt.com/images/2016/02/22/blogs/dotgatessmile/dotgatessmile-articleLarge.jpg,,,
c0954219-fa94-5ef0-9515-d3c07d0f91a2,The New York Times,2016,IPCC,"Bill Gates, the ‘Impatient Optimist,’ Lays Out his Clean-Energy Innovation Agenda",https://dotearth.blogs.nytimes.com/2016/02/23/bill-gates-the-impatient-optimist-lays-out-his-clean-energy-innovation-agenda/,2016-02-23,,2,https://static01.nyt.com/images/2016/02/22/blogs/dotgatessmile/dotgatessmile-thumbStandard.jpg,,,
