article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit
6b759bc5-e3df-50be-b246-3050045ca6f8,The New York Times,2013,"""global temperature""",Not Even Close: 2012 Was Hottest Ever in U.S.,https://www.nytimes.com/2013/01/09/science/earth/2012-was-hottest-year-ever-in-us.html,2013-01-08,,1,https://static01.nyt.com/images/2013/01/09/us/jp-HEAT-2/jp-HEAT-2-thumbStandard.jpg,,,
41c9a4a5-9b94-5459-a3e4-908e3fd64618,The New York Times,2013,"""global temperature""",2012: The Year of Extreme Weather,https://rendezvous.blogs.nytimes.com/2013/01/14/2012-the-year-of-extreme-weather/,2013-01-14,,1,https://static01.nyt.com/images/2013/01/14/blogs/14rdv-sustainability-art-corn/14rdv-sustainability-art-corn-articleLarge.jpg,,,
41c9a4a5-9b94-5459-a3e4-908e3fd64618,The New York Times,2013,"""global temperature""",2012: The Year of Extreme Weather,https://rendezvous.blogs.nytimes.com/2013/01/14/2012-the-year-of-extreme-weather/,2013-01-14,,2,https://static01.nyt.com/images/2013/01/14/blogs/14rdv-sustainability-art-corn/14rdv-sustainability-art-corn-thumbStandard.jpg,,,
2611bf1d-33bd-5ce8-be27-0f98a2f14291,The New York Times,2013,"""global temperature""",How High Could the Tide Go?,https://www.nytimes.com/2013/01/22/science/earth/seeking-clues-about-sea-level-from-fossil-beaches.html,2013-01-22,,1,https://static01.nyt.com/images/2013/01/22/science/22SEAL1_SPAN/22SEAL1_SPAN-articleLarge-v2.jpg,,,
2611bf1d-33bd-5ce8-be27-0f98a2f14291,The New York Times,2013,"""global temperature""",How High Could the Tide Go?,https://www.nytimes.com/2013/01/22/science/earth/seeking-clues-about-sea-level-from-fossil-beaches.html,2013-01-22,,2,https://static01.nyt.com/images/2013/01/22/science/22SEAL1_SPAN/22SEAL1_SPAN-thumbStandard-v2.jpg,,,
4bf50f5f-77e5-50c3-8601-da84ad2b7609,The New York Times,2013,IPCC,A Closer Look at Moderating Views of Climate Sensitivity,https://dotearth.blogs.nytimes.com/2013/02/04/a-closer-look-at-moderating-views-of-climate-sensitivity/,2013-02-04,,1,https://static01.nyt.com/images/2013/02/03/blogs/dotnotsohot/dotnotsohot-thumbStandard.jpg,,,
37cda99e-9fc7-5fc5-b70b-4a7956652a15,The New York Times,2013,"""sea level rise""",The Ignorance Caucus,https://www.nytimes.com/2013/02/11/opinion/krugman-the-ignorance-caucus.html,2013-02-11,,1,https://static01.nyt.com/images/2018/04/02/opinion/paul-krugman/paul-krugman-articleLarge.png,,,
37cda99e-9fc7-5fc5-b70b-4a7956652a15,The New York Times,2013,"""sea level rise""",The Ignorance Caucus,https://www.nytimes.com/2013/02/11/opinion/krugman-the-ignorance-caucus.html,2013-02-11,,2,https://static01.nyt.com/images/2018/04/02/opinion/paul-krugman/paul-krugman-thumbStandard.png,,,
ace2629d-186c-53e4-a23f-9afe05aff7a0,The New York Times,2013,"""global temperature""",Study of Ice Age Bolsters Carbon and Warming Link,https://www.nytimes.com/2013/03/01/science/earth/at-ice-age-end-a-smaller-gap-in-warming-and-carbon-dioxide.html,2013-02-28,,1,https://static01.nyt.com/images/2013/03/01/science/01ice-span/01ice-span-articleLarge.jpg,,,
ace2629d-186c-53e4-a23f-9afe05aff7a0,The New York Times,2013,"""global temperature""",Study of Ice Age Bolsters Carbon and Warming Link,https://www.nytimes.com/2013/03/01/science/earth/at-ice-age-end-a-smaller-gap-in-warming-and-carbon-dioxide.html,2013-02-28,,2,https://static01.nyt.com/images/2013/03/01/science/01ice-span/01ice-span-thumbStandard.jpg,,,
