article_id,newspaper,year_window,search_term,title,article_url,section,published_date,updated_date,image_count
guardian_c86ae92908,The Guardian,2022,IPCC,From Queen’s jubilee to Qatar World Cup: the big dates of 2022,https://www.theguardian.com/world/2022/jan/01/jubilee-world-cup-big-dates-events-of-2022,World news,2022-01-01,2022-01-01,11
guardian_c21787db3c,The Guardian,2022,IPCC,World’s largest coal port to be 100% powered by renewable energy,https://www.theguardian.com/environment/2022/jan/05/worlds-largest-coal-port-to-be-100-powered-by-renewable-energy,Environment,2022-01-05,2022-01-05,1
guardian_8828b08e08,The Guardian,2022,"""sea level rise""",‘We can’t ignore reality’: Colorado fires highlight urgency of US climate legislation,https://www.theguardian.com/environment/2022/jan/07/climate-change-colorado-wildfires-joe-biden-build-back-better,Environment,2022-01-08,2022-01-08,2
guardian_ca593fe1ff,The Guardian,2022,"""sea level rise""",Hottest ocean temperatures in history recorded last year,https://www.theguardian.com/environment/2022/jan/11/oceans-hottest-temperatures-research-climate-crisis,Environment,2022-01-11,2022-01-11,1
guardian_089a1e739d,The Guardian,2022,"""sea level rise""","Nearly quarter of world’s population had record hot year in 2021, data shows",https://www.theguardian.com/environment/2022/jan/13/hot-year-temperatures-climate-crisis-2021,Environment,2022-01-13,2022-01-13,1
guardian_29efb8c1f1,The Guardian,2022,"""carbon budget""",Fracking in Lake Eyre basin ‘would derail Queensland’s emissions plan’,https://www.theguardian.com/australia-news/2022/jan/13/fracking-in-lake-eyre-basin-would-derail-queenslands-emissions-plan,Australia news,2022-01-13,2022-01-13,1
guardian_2388438232,The Guardian,2022,"""carbon budget""",Dirty greenwashing: watchdog targets fashion brands over misleading claims,https://www.theguardian.com/business/2022/jan/14/dirty-greenwashing-watchdog-targets-fashion-brands-over-misleading-claims,Business,2022-01-14,2024-03-27,1
guardian_3acde62836,The Guardian,2022,"""sea level rise""",‘It’s a slow catastrophe’: artists try to tackle the dangers of rising sea levels,https://www.theguardian.com/artanddesign/2022/jan/24/climate-crisis-floodzone-anastasia-samoylova-exhibition,Art and design,2022-01-24,2022-10-19,4
guardian_49699d2a49,The Guardian,2022,IPCC,Port in a storm: the trailblazing town welcoming climate refugees in Bangladesh,https://www.theguardian.com/global-development/2022/jan/24/port-in-a-storm-the-trailblazing-town-welcoming-climate-refugees-in-bangladesh,Global development,2022-01-24,2022-10-19,6
guardian_c2ee4be3ba,The Guardian,2022,"""sea level rise""",‘Corporate vultures’: how Americans fearing higher water bills are fighting takeovers,https://www.theguardian.com/us-news/2022/jan/25/corporate-vultures-americans-fearing-higher-water-bills-fight-takeovers,US news,2022-01-25,2022-01-25,7
guardian_6162d73053,The Guardian,2022,"""carbon budget""",EU includes gas and nuclear in guidebook for ‘green’ investments,https://www.theguardian.com/environment/2022/feb/02/eu-guidebook-taxonomy-green-investments-gas-nuclear-included,Environment,2022-02-02,2022-02-02,1
