action,reason,source_path,kept_path,date,image_index,format,width,height
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58138714_img05.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58138714_img05.png,2021-08-09,5,PNG,2560,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58130705_img06.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58130705_img06.png,2021-08-09,6,PNG,1280,1346
removed_from_dedup,exact_visual_duplicate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58138714_img07.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_world-58064485_img02.png,2021-08-09,7,PNG,2560,2000
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58138714_img09.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58138714_img09.png,2021-08-09,9,PNG,1280,1346
removed_from_dedup,exact_visual_duplicate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_science-environment-58138714_img10.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-08-09_world-58064485_img03.png,2021-08-09,10,PNG,1280,1346
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-10-27_world-asia-india-58922398_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-10-27_world-asia-india-58922398_img02.png,2021-10-27,2,PNG,2560,2079
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-10-27_world-asia-india-58922398_img04.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-10-27_world-asia-india-58922398_img04.png,2021-10-27,4,PNG,1280,1040
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-10-31_uk-59110765_img05.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2021-10-31_uk-59110765_img05.png,2021-10-31,5,PNG,2560,1800
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-06-15_science-environment-61795783_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-06-15_science-environment-61795783_img02.png,2022-06-15,2,PNG,1280,1418
kept,,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-07-28_science-environment-62322574_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz\bbc_2022-07-28_science-environment-62322574_img02.png,2022-07-28,2,PNG,1280,820
