article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit,positive_chart_signal_count,positive_chart_signals,negative_photo_signal_count,negative_photo_signals,review_priority,auto_review_label
guardian_baf843287f,The Guardian,2016,"""global temperature""",Climate change in charts: from record global temperatures to science denial,https://www.theguardian.com/environment/planet-oz/2016/feb/02/climate-change-in-charts-from-record-global-temperatures-to-science-denial,2016-02-02,2021-08-25,2,https://i.guim.co.uk/img/media/08c2c36b96cbac6bbd688ff0356bb1047cfbdafe/0_0_738_525/master/738.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-02-02_guardian_baf843287f_img02.jpg,"Chart showing average global temperatures from 1850 to 2015 according to three major datasets Photograph: Met Office, UK",,3,chart|data|graph,2,photo|photograph,0,likely_visualization
guardian_a1be5e1fef,The Guardian,2016,"""sea level rise""",Sea ice extent in Arctic and Antarctic reached record lows in November,https://www.theguardian.com/environment/2016/dec/06/arctic-antarctic-ice-melt-november-record,2016-12-06,2021-08-25,2,https://i.guim.co.uk/img/media/95a7a2c0bd8115ec1bd6a62931e27f5ce15b8cb1/0_0_1460_1740/master/1460.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-12-06_guardian_a1be5e1fef_img02.jpg,A map from NSIDC showing the sea ice extent compared to the historical average from 1981 to 2010. Photograph: National Snow and Ice Data Center,,3,data|graph|map,2,photo|photograph,0,likely_visualization
guardian_ddb14a45eb,The Guardian,2016,IPCC,Republicans' favorite climate chart has some serious problems,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/feb/19/republicans-favorite-climate-chart-has-some-serious-problems,2016-02-19,2021-08-25,5,https://i.guim.co.uk/img/media/77c019e4b08d6714bbe6df53bc7684d197e1c160/0_0_2164_1578/master/2164.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-02-19_guardian_ddb14a45eb_img05.jpg,"Estimated changes in the observed global annual mean sea level (GMSL) since 1950 relative to 1961–1990. Estimated changes in global annual sea level anomalies are presented based on tide gauge data and based on sea surface altimetry. The shading shows the largest model projected range of global annual sea level rise from 1950 to 2035 for the IPCC First Assessment Report (FAR), Second (SAR), Third (TAR), and for Church et al. (2011) based on the CMIP3 model results. Illustration: IPCC AR5",,2,chart|data,0,,0,likely_visualization
guardian_4158a1354d,The Guardian,2016,"""sea level rise""",Oceanographers offer clues to Malaysian airlines crash,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2016/dec/14/oceanographers-offer-clues-to-malaysian-airlines-crash,2016-12-14,2021-08-25,3,https://i.guim.co.uk/img/media/35e3e4b102f29cd7436b08cb6fc05cf248d64c62/0_0_679_891/master/679.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-12-14_guardian_4158a1354d_img03.jpg,Diagram of a drifter. Illustration: NOAA,,2,diagram|graph,0,,0,likely_visualization
guardian_dfcbd6bb53,The Guardian,2016,IPCC,"Era of climate science denial is not over, study finds",https://www.theguardian.com/environment/planet-oz/2016/jan/07/era-of-climate-science-denial-is-not-over-study-finds,2016-01-07,2021-08-25,2,https://i.guim.co.uk/img/media/7f65eab39c81435d8dc640cfa4154404da4096a1/0_0_750_450/master/750.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-01-07_guardian_dfcbd6bb53_img02.jpg,Chart from a 2016 study in the journal Global Environmental Change showing the output of conservative thinktanks on climate change between 1998 and 2013. Photograph: Global Environmental Change,,2,chart|graph,2,photo|photograph,0,likely_visualization
guardian_0cad45d1c4,The Guardian,2016,"""1.5C""","2015 smashes record for hottest year, final figures confirm",https://www.theguardian.com/environment/2016/jan/20/2015-smashes-record-for-hottest-year-final-figures-confirm,2016-01-20,2021-08-25,1,https://i.guim.co.uk/img/media/7d75854948eee4d53311c5f86102757ca920937f/0_0_1920_1080/master/1920.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-01-20_guardian_0cad45d1c4_img01.jpg,Nasa map of temperature anomalies in 2015 compared to the long-term average. Photograph: NASA,,2,graph|map,2,photo|photograph,0,likely_visualization
guardian_baf843287f,The Guardian,2016,"""global temperature""",Climate change in charts: from record global temperatures to science denial,https://www.theguardian.com/environment/planet-oz/2016/feb/02/climate-change-in-charts-from-record-global-temperatures-to-science-denial,2016-02-02,2021-08-25,3,https://i.guim.co.uk/img/media/c2a7c3df2bfd7a3213995b869e083e8c8d9b3923/0_0_600_382/master/600.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-02-02_guardian_baf843287f_img03.jpg,Chart showing the MetOffice estimate of global temperatures in the upcoming five years to 2020 Photograph: Met Office,,2,chart|graph,2,photo|photograph,0,likely_visualization
guardian_baf843287f,The Guardian,2016,"""global temperature""",Climate change in charts: from record global temperatures to science denial,https://www.theguardian.com/environment/planet-oz/2016/feb/02/climate-change-in-charts-from-record-global-temperatures-to-science-denial,2016-02-02,2021-08-25,4,https://i.guim.co.uk/img/media/58134b896cdb9fc3bce1c3aec9fa0c8ed9e7d352/0_0_566_380/master/566.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-02-02_guardian_baf843287f_img04.jpg,Chart showing the rising heat content of the world’s oceans Photograph: NOAA,,2,chart|graph,2,photo|photograph,0,likely_visualization
guardian_baf843287f,The Guardian,2016,"""global temperature""",Climate change in charts: from record global temperatures to science denial,https://www.theguardian.com/environment/planet-oz/2016/feb/02/climate-change-in-charts-from-record-global-temperatures-to-science-denial,2016-02-02,2021-08-25,5,https://i.guim.co.uk/img/media/551ceb8b5e8599bb59b99fa4ca3b6234be3953f2/0_0_630_618/master/630.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-02-02_guardian_baf843287f_img05.jpg,Chart showing how often thinktanks that oppose climate action argue that CO2 is good and how those funded by Exxon or the Koch brothers make that argument more often. Photograph: Proceedings of the National Academy of Sciences,,2,chart|graph,2,photo|photograph,0,likely_visualization
guardian_baf843287f,The Guardian,2016,"""global temperature""",Climate change in charts: from record global temperatures to science denial,https://www.theguardian.com/environment/planet-oz/2016/feb/02/climate-change-in-charts-from-record-global-temperatures-to-science-denial,2016-02-02,2021-08-25,6,https://i.guim.co.uk/img/media/78ff6c694cfc7337a661b66ca46f9b637b42fddf/0_0_814_775/master/814.jpg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2016-02-02_guardian_baf843287f_img06.jpg,Chart showing the views of Australians on the causes of climate change. The dashed line shows each group’s opinion and the bars show how many people they think agree with them. Photograph: Nature Climate Change,,2,chart|graph,2,photo|photograph,0,likely_visualization
