article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit,positive_chart_signal_count,positive_chart_signals,negative_photo_signal_count,negative_photo_signals,review_priority,auto_review_label
guardian_bf25c5dcf9,The Guardian,2015,"""global temperature""",Are fossil fuel companies using IEA reports to talk up demand?,https://www.theguardian.com/environment/2015/oct/23/are-fossil-fuel-companies-using-iea-reports-to-talk-up-demand,2015-10-23,2021-08-26,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/10/23/1445568359383/4758c071-7b2f-4ca8-a6a3-cdc4aaf014e7-620x438.png?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-10-23_guardian_bf25c5dcf9_img03.png,The International Energy Agency’s predictions for solar PV growth vs historical data. Photograph: Carbon Tracker,,3,data|graph|tracker,2,photo|photograph,0,likely_visualization
guardian_caf6536812,The Guardian,2015,"""carbon budget""",Is geoengineering a bad idea?,https://www.theguardian.com/environment/2015/feb/11/is-geoengineering-a-bad-idea-climate-change,2015-02-11,2021-08-25,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/2/11/1423650360236/8d9f1a86-3979-469a-a666-18e827592426-bestSizeAvailable.png?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-02-11_guardian_caf6536812_img03.png,Beccs graphic.,,2,graph|graphic,0,,0,likely_visualization
guardian_1334713929,The Guardian,2015,IPCC,The oceans are warming faster than climate models predicted,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/jul/20/oceans-warming-faster-than-climate-models-predicted,2015-07-20,2021-08-25,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/7/20/1437400442446/b791fce9-88a9-4e36-a944-a2b0009c403b-477x660.jpeg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-07-20_guardian_1334713929_img03.jpeg,"(a) Upper (0–700 m) OHC, calculated using 40 CMIP5 models (gray lines; black line is the ensemble mean). The CMIP5 results are compared with the observation-based estimate using the strategies presented in this study (red line) and NODC mapping (dashed blue line). Two major volcanic eruptions are marked by the black arrows. (b) Annual global-averaged upper ocean warming rates from the CMIP5 model results (gray lines; red line is the ensemble mean) and from observations (blue line), computed from the first differences of OHC at 700 m (units: °C yr−1). Source: Institute of Atmospheric Physics.",Institute of Atmospheric Physics.,2,map|source:,0,,0,likely_visualization
guardian_c734c78579,The Guardian,2015,"""global temperature""","The Daily Mail and Telegraph get it wrong on Arctic sea ice, again",https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/jul/27/daily-mail-telegraph-wrong-arctic-sea-ice,2015-07-27,2021-08-25,2,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/7/25/1437797726400/bcb37372-cfa5-446e-8b18-5bc9544e6393-1020x549.png?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-07-27_guardian_c734c78579_img02.png,PIOMAS model Arctic sea ice volume for autumn 1980–2014 (solid line) and spring 1981–2014 (dashed line). CryoSat-2 volume estimates (red stars) are plotted for 2010–2014.,,2,graph|plot,0,,0,likely_visualization
guardian_c734c78579,The Guardian,2015,"""global temperature""","The Daily Mail and Telegraph get it wrong on Arctic sea ice, again",https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/jul/27/daily-mail-telegraph-wrong-arctic-sea-ice,2015-07-27,2021-08-25,3,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/7/25/1437801527868/aa9d2760-3366-47f2-8810-753fb3ec7948-bestSizeAvailable.jpeg?width=445&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-07-27_guardian_c734c78579_img03.jpeg,"Arctic sea ice volume estimate from PIOMAS, annotated by John Mason to indicate the last time the volume was as high as 2013, which the Daily Mail claims has been “decades.” Source: SkepticalScience.com.",SkepticalScience.com.,2,graph|source:,0,,0,likely_visualization
guardian_1e88bfda01,The Guardian,2015,"""carbon budget""","Leave fossil fuels buried to prevent climate change, study urges",https://www.theguardian.com/environment/2015/jan/07/much-worlds-fossil-fuel-reserve-must-stay-buried-prevent-climate-change-study-says,2015-01-07,2021-08-25,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/1/7/1420645948452/4fb5de15-5ea1-4182-af15-97709459da94-2060x1236.jpeg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-01-07_guardian_1e88bfda01_img01.jpeg,"Trillions of dollars of known and extractable coal, oil and gas cannot be exploited if the global temperature rise is to be kept under the 2C safety limit, says a new report. Photograph: Les Stone/Les Stone/Corbis",,2,graph|table,2,photo|photograph,0,likely_visualization
guardian_c2a45ef6d6,The Guardian,2015,"""net zero""",Cameron welcomes falling unemployment figures: Politics Live blog,https://www.theguardian.com/politics/live/2015/feb/18/cameron-to-speak-at-a-pm-direct-event-in-sussex-politics-live-blog,2015-02-18,2017-06-09,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/2/18/1424277270274/d983870e-a9e1-4702-8197-9d1d1a458ec1-2060x1236.jpeg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-02-18_guardian_c2a45ef6d6_img01.jpeg,MPs are plotting to stop the introduction of plan cigarette packaging. Photograph: Matt Rourke/AP,,2,graph|plot,2,photo|photograph,0,likely_visualization
guardian_69c2759e56,The Guardian,2015,IPCC,Hospital psychiatric detainees more at risk of preventable death,https://www.theguardian.com/society/2015/feb/23/hospital-psychiatric-prisoners-more-likely-preventable-deaths-report,2015-02-23,2017-11-29,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/2/22/1424622497145/70acba30-9328-4927-82fc-8ebc48df5a7d-2060x1236.jpeg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-02-23_guardian_69c2759e56_img01.jpeg,The Equality and Human Rights Commission warned that it was often ‘basic mistakes’ that led to deaths of mentally ill detainees. Photograph: Rex,,2,graph|table,2,photo|photograph,0,likely_visualization
guardian_cfcaa94220,The Guardian,2015,"""global temperature""",One satellite data set is underestimating global warming,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/mar/25/one-satellite-data-set-is-underestimating-global-warming,2015-03-25,2021-08-25,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/3/25/1427262012003/ee12d8ae-65b1-4551-9e76-4392c0243891-2060x1236.jpeg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-03-25_guardian_cfcaa94220_img01.jpeg,Satellite orbiting Earth. Photograph: JG Photography / Alamy/Alamy,,2,data|graph,2,photo|photograph,0,likely_visualization
guardian_a11e1e8f1f,The Guardian,2015,"""1.5C""",Australia's blind spots on the road to Paris climate deal,https://www.theguardian.com/environment/planet-oz/2015/apr/02/australias-blind-spots-on-the-road-to-paris-climate-deal,2015-04-01,2021-08-25,1,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2015/4/1/1427885862711/01e55e69-3496-4330-9348-bd93f7c8d9d8-2060x1236.jpeg?width=465&dpr=1&s=none&crop=none,../Scripts/output/guardian/guardian_images/guardian_2015-04-01_guardian_a11e1e8f1f_img01.jpeg,Australia is highlighting its reliance on fossil fuels for energy and export dollars as an excuse to do less about climate change. Photograph: Robb Kendrick/Robb Kendrick/National Geographic Society/Corbis,,2,graph|graphic,2,photo|photograph,0,likely_visualization
