article_id,newspaper,search_term,article_url,published_date,image_index,image_url,local_image_path,caption,credit
cz913gxlw3jo,BBC News,"""climate change""",https://www.bbc.co.uk/news/articles/cz913gxlw3jo,,3,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/fe82/live/a2ad2de0-b405-11f0-b2a1-6f537f66f9aa.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_cz913gxlw3jo_img03.png,,
cz913gxlw3jo,BBC News,"""climate change""",https://www.bbc.co.uk/news/articles/cz913gxlw3jo,,4,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/b4e9/live/a1f17ad0-b40c-11f0-ba75-093eca1ac29b.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_cz913gxlw3jo_img04.png,,
czerrzdewzxo,BBC News,temperature,https://www.bbc.co.uk/news/articles/czerrzdewzxo,,1,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/2913/live/65e177d0-7766-11f0-a975-cb151ca452f4.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_czerrzdewzxo_img01.png,,
czerrzdewzxo,BBC News,temperature,https://www.bbc.co.uk/news/articles/czerrzdewzxo,,2,https://ichef.bbci.co.uk/ace/standard/1800/cpsprodpb/e984/live/7ceac4e0-76ee-11f0-a20f-3b86f375586a.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_czerrzdewzxo_img02.jpg,"Image caption, The UK has been drawing in some very warm air from Europe, where temperatures have been particularly high",
czew95e2369o,BBC News,"""climate change""",https://www.bbc.co.uk/news/articles/czew95e2369o,,1,https://ichef.bbci.co.uk/ace/standard/1552/cpsprodpb/b961/live/46fba3d0-9fbc-11f0-b73e-e715acbd6a10.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_czew95e2369o_img01.jpg,"Image caption, The game's makers hopes the next generation will be ready to face environmental challenges",
czew95e2369o,BBC News,"""climate change""",https://www.bbc.co.uk/news/articles/czew95e2369o,,2,https://ichef.bbci.co.uk/ace/standard/566/cpsprodpb/c15f/live/080c24d0-9fa1-11f0-8e4d-7723b0da5e04.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_czew95e2369o_img02.jpg,"Image caption, Minecraft took the gaming world by storm when it was released in 2009",
science-environment-15373071,BBC News,"""global warming""",https://www.bbc.co.uk/news/science-environment-15373071,,1,https://ichef.bbci.co.uk/ace/standard/624/mcs/media/images/56197000/gif/_56197115_climate_change_624gr.gif,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-15373071_img01.gif,"Image caption, The Berkeley group's record of global land temperature mirrors existing ones closely",
science-environment-20543483,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-20543483,,1,https://ichef.bbci.co.uk/ace/standard/464/mcs/media/images/64474000/gif/_64474482_ice_sheet_contribution_464.gif,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-20543483_img01.gif,,
science-environment-24494398,BBC News,"""global warming""",https://www.bbc.co.uk/news/science-environment-24494398,,1,https://ichef.bbci.co.uk/ace/standard/624/mcs/media/images/70420000/jpg/_70420993_e2650020-earth_graphic_showing_sea_height_during_an_el_nino-spl.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-24494398_img01.jpg,"Image caption, How the impact of El Nino is felt on sea height across the world",
science-environment-28870988,BBC News,"""global warming""",https://www.bbc.co.uk/news/science-environment-28870988,,1,"https://ichef.bbci.co.uk/ace/standard/624/mcs/media/images/77098000/jpg/_77098533_c0180190-global_ocean_currents,_diagram-spl.jpg",D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-28870988_img01.jpg,"Image caption, Currents in the Atlantic could be responsible for a slowdown in temperature rises",
science-environment-30399073,BBC News,"""carbon dioxide""",https://www.bbc.co.uk/news/science-environment-30399073,,1,https://ichef.bbci.co.uk/ace/standard/624/mcs/media/images/79831000/jpg/_79831616_map.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-30399073_img01.jpg,"Image caption, The map contains 600,000 data points",
science-environment-38513740,BBC News,"""global warming""",https://www.bbc.co.uk/news/science-environment-38513740,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/5C2C/production/_93269532_hausfather3hr.jpg,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-38513740_img01.jpg,"Image caption, The new analysis of buoy and satellite data shows that ocean temperatures have increased steadily since the 1990s",
science-environment-45653099,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-45653099,,1,https://news.files.bbci.co.uk/include/newsspec/21484-climate-change/assets/app-project-assets/img/climate-change-fallback.png?v=1.0.17,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-45653099_img01.png,,
science-environment-45784892,BBC News,IPCC,https://www.bbc.co.uk/news/science-environment-45784892,,1,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/12897/production/_103772957_impact_of_climate_changev2_640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-45784892_img01.png,,
science-environment-50236882,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-50236882,,1,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/14F74/production/_109467858_flooding_bangkok_2050_640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-50236882_img01.png,,
science-environment-50236882,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-50236882,,2,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/17684/production/_109467859_flooding_bangladesh_2050_640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-50236882_img02.png,,
science-environment-50438611,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-50438611,,1,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/D65B/production/_108957845_sea_level_rise_map640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-50438611_img01.png,,
science-environment-50438611,BBC News,"""sea level""",https://www.bbc.co.uk/news/science-environment-50438611,,2,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/8E65/production/_108935463_sea_levels_cities_at_riskmap640-nc.png,D:\FR\IGD\IPCC internship\Scripts\output\bbc\images\bbc_undated_science-environment-50438611_img02.png,,
