article_id,newspaper,search_term,title,article_url,section,published_date,image_count
science-environment-33040965,BBC News,"""greenhouse gas""","China greenhouse gases: Progress is made, report says",https://www.bbc.co.uk/news/science-environment-33040965,BBC search,,5
science-environment-33849600,BBC News,"""global warming""",Global warming threatens extinction for UK butterflies,https://www.bbc.co.uk/news/science-environment-33849600,BBC search,,3
science-environment-33910552,BBC News,"""global warming""",Global warming increases 'food shocks' threat,https://www.bbc.co.uk/news/science-environment-33910552,BBC search,,4
science-environment-34642692,BBC News,"""sea level""",Bikini islanders seek US refuge as sea levels threaten homes,https://www.bbc.co.uk/news/science-environment-34642692,BBC search,,2
science-environment-34980252,BBC News,"""global warming""",Global warming v island life â Q&A from the Pacific. Watch Now Global warming v island life â Q&A from the Pacific,https://www.bbc.co.uk/news/av/science-environment-34980252,BBC search,,0
science-environment-35473955,BBC News,"""greenhouse gas""",UK greenhouse gas emissions' 8% drop,https://www.bbc.co.uk/news/science-environment-35473955,BBC search,,1
science-environment-35496350,BBC News,"""global warming""",'Wrong type of trees' in Europe increased global warming,https://www.bbc.co.uk/news/science-environment-35496350,BBC search,,2
science-environment-35654938,BBC News,"""carbon dioxide""",How Northern European waters soak up carbon dioxide,https://www.bbc.co.uk/news/science-environment-35654938,BBC search,,3
science-environment-35926694,BBC News,"""sea level""",'Drastic' Antarctic melt could double global sea-level rise,https://www.bbc.co.uk/news/science-environment-35926694,BBC search,,2
science-environment-36029753,BBC News,"""sea level""",Sea-level rise factors unravelled,https://www.bbc.co.uk/news/science-environment-36029753,BBC search,,1
science-environment-36521075,BBC News,"""carbon dioxide""",Carbon dioxide spike expected in 2016. Listen Now Carbon dioxide spike expected in 2016,https://www.bbc.co.uk/news/av/science-environment-36521075,BBC search,,0
science-environment-36579125,BBC News,"""global warming""",New crop varieties 'can't keep up with global warming',https://www.bbc.co.uk/news/science-environment-36579125,BBC search,,2
science-environment-37034052,BBC News,"""global warming""",Global warming and the race for the White House,https://www.bbc.co.uk/news/science-environment-37034052,BBC search,,5
science-environment-37610850,BBC News,"""greenhouse gas""",UN moves to ban 'fastest growing' greenhouse gases,https://www.bbc.co.uk/news/science-environment-37610850,BBC search,,3
science-environment-37659711,BBC News,"""greenhouse gas""",Deal expected on phasing out 'disastrous' greenhouse gases,https://www.bbc.co.uk/news/science-environment-37659711,BBC search,,2
science-environment-37665529,BBC News,"""greenhouse gas""","Climate change: 'Monumental' deal to cut HFCs, fastest growing greenhouse gases",https://www.bbc.co.uk/news/science-environment-37665529,BBC search,,6
science-environment-37668564,BBC News,"""global warming""",Countries reach deal to phase out HFC gases that are making global warming worse. Watch Now Countries reach deal to phase out HFC gases that are making global warming worse.,https://www.bbc.co.uk/news/av/science-environment-37668564,BBC search,,0
science-environment-38034171,BBC News,"""global warming""","Climate talks: 'Save us' from global warming, US urged",https://www.bbc.co.uk/news/science-environment-38034171,BBC search,,3
science-environment-38513740,BBC News,"""global warming""",Climate change: Fresh doubt over global warming 'pause',https://www.bbc.co.uk/news/science-environment-38513740,BBC search,,2
science-environment-40669449,BBC News,"""greenhouse gas""",'Dodgy' greenhouse gas data threatens Paris accord,https://www.bbc.co.uk/news/science-environment-40669449,BBC search,,4
science-environment-40686984,BBC News,"""sea level""",Sea level fears as Greenland darkens,https://www.bbc.co.uk/news/science-environment-40686984,BBC search,,4
science-environment-41606981,BBC News,"""carbon dioxide""",Nasa mission tracks carbon dioxide. Watch Now Nasa mission tracks carbon dioxide,https://www.bbc.co.uk/news/av/science-environment-41606981,BBC search,,0
science-environment-43391388,BBC News,"""carbon dioxide""",Rising carbon dioxide levels impair coral growth,https://www.bbc.co.uk/news/science-environment-43391388,BBC search,,4
science-environment-45486864,BBC News,"""greenhouse gas""",'Nature-based' greenhouse gas removal to limit UK climate change,https://www.bbc.co.uk/news/science-environment-45486864,BBC search,,4
science-environment-45653099,BBC News,IPCC,IPCC: Climate scientists consider 'life changing' report,https://www.bbc.co.uk/news/science-environment-45653099,BBC search,,6
