article_id,newspaper,year_window,search_term,article_title,article_url,published_date,updated_date,image_index,image_url,local_image_path,caption,credit,positive_chart_signal_count,positive_chart_signals,negative_photo_signal_count,negative_photo_signals,review_priority,auto_review_label,dedup_image_path,metadata_source_csv
c9w15nggj58o,BBC News,2013,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,2013-09-23,2026-01-14,2,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/ed19/live/23e1d380-f069-11f0-b5f7-49f0357294ff.png,../Scripts/output/bbc/bbc_images/bbc_2013-09-23_c9w15nggj58o_img02.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2013-09-23_c9w15nggj58o_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
c9w15nggj58o,BBC News,2013,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,2013-09-23,2026-01-14,3,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/0de1/live/676db750-d43a-11ef-87df-d575b9a434a4.png,../Scripts/output/bbc/bbc_images/bbc_2013-09-23_c9w15nggj58o_img03.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2013-09-23_c9w15nggj58o_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
c9w15nggj58o,BBC News,2013,"""climate change""",What is climate change? A really simple guide,https://www.bbc.co.uk/news/articles/c9w15nggj58o,2013-09-23,2026-01-14,6,https://ichef.bbci.co.uk/ace/standard/1920/cpsprodpb/f758/live/9860a180-f151-11f0-b5f7-49f0357294ff.png,../Scripts/output/bbc/bbc_images/bbc_2013-09-23_c9w15nggj58o_img06.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2013-09-23_c9w15nggj58o_img06.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
science-environment-35354579,BBC News,2016,"""global temperature""",Climate change: 2015 'shattered' global temperature record by wide margin,https://www.bbc.co.uk/news/science-environment-35354579,2016-01-20,,1,https://ichef.bbci.co.uk/ace/standard/976/cpsprodpb/156B3/production/_87813778_anoms_ytd_col_pct_no_crosses-01-2copy.jpg,../Scripts/output/bbc/bbc_images/bbc_2016-01-20_science-environment-35354579_img01.jpg,"Image caption, Global temperature anomalies in 2015: Many parts of the world have experienced significantly higher temperatures than the average through 2015",,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2016-01-20_science-environment-35354579_img01.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
science-environment-36303046,BBC News,2016,"""global temperature""",April breaks global temperature record,https://www.bbc.co.uk/news/science-environment-36303046,2016-05-16,,1,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/17AC/production/_89706060_89706059.jpg,../Scripts/output/bbc/bbc_images/bbc_2016-05-16_science-environment-36303046_img01.jpg,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2016-05-16_science-environment-36303046_img01.jpg,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
cz913gxlw3jo,BBC News,2017,"""climate change""","How climate change affects hurricanes, typhoons and cyclones",https://www.bbc.co.uk/news/articles/cz913gxlw3jo,2017-12-30,2026-05-21,2,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/44f6/live/70524a50-b406-11f0-b2a1-6f537f66f9aa.png,../Scripts/output/bbc/bbc_images/bbc_2017-12-30_cz913gxlw3jo_img02.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2017-12-30_cz913gxlw3jo_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
cz913gxlw3jo,BBC News,2017,"""climate change""","How climate change affects hurricanes, typhoons and cyclones",https://www.bbc.co.uk/news/articles/cz913gxlw3jo,2017-12-30,2026-05-21,5,https://ichef.bbci.co.uk/ace/standard/1280/cpsprodpb/b4e9/live/a1f17ad0-b40c-11f0-ba75-093eca1ac29b.png,../Scripts/output/bbc/bbc_images/bbc_2017-12-30_cz913gxlw3jo_img05.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2017-12-30_cz913gxlw3jo_img05.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
science-environment-45653099,BBC News,2018,"""1.5C""",IPCC: Climate scientists consider 'life changing' report,https://www.bbc.co.uk/news/science-environment-45653099,2018-10-01,,6,https://news.files.bbci.co.uk/include/newsspec/21484-climate-change/assets/app-project-assets/img/climate-change-fallback.png?v=1.0.17,../Scripts/output/bbc/bbc_images/bbc_2018-10-01_science-environment-45653099_img06.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2018-10-01_science-environment-45653099_img06.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
science-environment-45784892,BBC News,2018,IPCC,Five things we have learned from the IPCC report,https://www.bbc.co.uk/news/science-environment-45784892,2018-10-08,,3,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/12897/production/_103772957_impact_of_climate_changev2_640-nc.png,../Scripts/output/bbc/bbc_images/bbc_2018-10-08_science-environment-45784892_img03.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2018-10-08_science-environment-45784892_img03.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
science-environment-50236882,BBC News,2019,"""sea level rise""",Climate change: Sea level rise to affect 'three times more people',https://www.bbc.co.uk/news/science-environment-50236882,2019-10-30,,2,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/14F74/production/_109467858_flooding_bangkok_2050_640-nc.png,../Scripts/output/bbc/bbc_images/bbc_2019-10-30_science-environment-50236882_img02.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2019-10-30_science-environment-50236882_img02.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
science-environment-50236882,BBC News,2019,"""sea level rise""",Climate change: Sea level rise to affect 'three times more people',https://www.bbc.co.uk/news/science-environment-50236882,2019-10-30,,5,https://ichef.bbci.co.uk/ace/standard/640/cpsprodpb/17684/production/_109467859_flooding_bangladesh_2050_640-nc.png,../Scripts/output/bbc/bbc_images/bbc_2019-10-30_science-environment-50236882_img05.png,,,0,,0,,1,broad_candidate,D:\FR\IGD\IPCC internship\output\bbc\bbc_images\bbc_images_dataviz_dedup\bbc_2019-10-30_science-environment-50236882_img05.png,D:\FR\IGD\IPCC internship\output\bbc\bbc_images.csv
